"PhraseID","EN","ES-ES"
"QID198_Choice101","Framingham","Framingham"
"QID198_Choice102","Franklin","Franklin"
"QID198_Choice103","Freetown","Freetown"
"QID198_Choice104","Gardner","Gardner"
"QID198_Choice105","Georgetown","Georgetown"
"QID198_Choice106","Gill","Gill"
"QID198_Choice107","Gloucester","Gloucester"
"QID198_Choice108","Goshen","Goshen"
"QID198_Choice109","Gosnold","Gosnold"
"QID198_Choice110","Grafton","Grafton"
"QID198_Choice111","Granby","Granby"
"QID198_Choice112","Granville","Granville"
"QID198_Choice113","Great Barrington","Great Barrington"
"QID198_Choice114","Greenfield","Greenfield"
"QID198_Choice115","Groton","Groton"
"QID198_Choice116","Groveland","Groveland"
"QID198_Choice117","Hadley","Hadley"
"QID198_Choice118","Halifax","Halifax"
"QID198_Choice119","Hamilton","Hamilton"
"QID198_Choice120","Hampden","Hampden"
"QID198_Choice121","Hancock","Hancock"
"QID198_Choice122","Hanover","Hannover"
"QID198_Choice123","Hanson","Hanson"
"QID198_Choice124","Hardwick","Hardwick"
"QID198_Choice125","Harvard","Harvard"
"QID198_Choice126","Harwich","Harwich"
"QID198_Choice127","Hatfield","Hatfield"
"QID198_Choice128","Haverhill","Haverhill"
"QID198_Choice129","Hawley","Hawley"
"QID198_Choice130","Heath","Heath"
"QID198_Choice131","Hingham","Hingham"
"QID198_Choice132","Hinsdale","Hinsdale"
"QID198_Choice133","Holbrook","Holbrook"
"QID198_Choice134","Holden","Holden"
"QID198_Choice135","Holland","Holland"
"QID198_Choice136","Holliston","Holliston"
"QID198_Choice137","Holyoke","Holyoke"
"QID198_Choice138","Hopedale","Hopedale"
"QID198_Choice139","Hopkinton","Hopkinton"
"QID198_Choice140","Hubbardston","Hubbardston"
"QID198_Choice141","Hudson","Hudson"
"QID198_Choice142","Hull","Hull"
"QID198_Choice143","Huntington","Huntington"
"QID198_Choice144","Ipswich","Ipswich"
"QID198_Choice145","Kingston","Kingston"
"QID198_Choice146","Lakeville","Lakeville"
"QID198_Choice147","Lancaster","Lancaster"
"QID198_Choice148","Lanesborough","Lanesborough"
"QID198_Choice149","Lawrence","Lawrence"
"QID198_Choice150","Lee","Lee"
"QID198_Choice151","Leicester","Leicester"
"QID198_Choice152","Lenox","Lenox"
"QID198_Choice153","Leominster","Leominster"
"QID198_Choice154","Leverett","Leverett"
"QID198_Choice155","Lexington","Lexington"
"QID198_Choice156","Leyden","Leyden"
"QID198_Choice157","Lincoln","Lincoln"
"QID198_Choice158","Littleton","Littleton"
"QID198_Choice159","Longmeadow","Longmeadow"
"QID198_Choice160","Lowell","Lowell"
"QID198_Choice161","Ludlow","Ludlow"
"QID198_Choice162","Lunenburg","Lunenburg"
"QID198_Choice163","Lynn","Lynn"
"QID198_Choice164","Lynnfield","Lynnfield"
"QID198_Choice165","Malden","Malden"
"QID198_Choice166","Manchester-by-the-Sea","Manchester-by-the-Sea"
"QID198_Choice167","Mansfield","Mansfield"
"QID198_Choice168","Marblehead","Marblehead"
"QID198_Choice169","Marion","Marion"
"QID198_Choice170","Marlborough","Marlborough"
"QID198_Choice171","Marshfield","Marshfield"
"QID198_Choice172","Mashpee","Mashpee"
"QID198_Choice173","Mattapoisett","Mattapoisett"
"QID198_Choice174","Maynard","Maynard"
"QID198_Choice175","Medfield","Medfield"
"QID198_Choice176","Medford","Medford"
"QID198_Choice177","Medway","Medway"
"QID198_Choice178","Melrose","Melrose"
"QID198_Choice179","Mendon","Mendon"
"QID198_Choice180","Merrimac","Merrimac"
"QID198_Choice181","Methuen","Methuen"
"QID198_Choice182","Middleborough","Middleborough"
"QID198_Choice183","Middlefield","Middlefield"
"QID198_Choice184","Middleton","Middleton"
"QID198_Choice185","Milford","Milford"
"QID198_Choice186","Millbury","Millbury"
"QID198_Choice187","Millis","Millis"
"QID198_Choice188","Millville","Millville"
"QID198_Choice189","Milton","Milton"
"QID198_Choice190","Monroe","Monroe"
"QID198_Choice191","Monson","Monson"
"QID198_Choice192","Montague","Montague"
"QID198_Choice193","Monterey","Monterey"
"QID198_Choice194","Montgomery","Montgomery"
"QID198_Choice195","Mount Washington","Mount Washington"
"QID198_Choice196","Nahant","Nahant"
"QID198_Choice197","Nantucket","Nantucket"
"QID198_Choice198","Natick","Natick"
"QID198_Choice199","Needham","Needham"
"QID198_Choice200","New Ashford","New Ashford"
"QID198_Choice201","New Bedford","New Bedford"
"QID198_Choice202","New Braintree","New Braintree"
"QID198_Choice203","New Marlborough","New Marlborough"
"QID198_Choice204","New Salem","New Salem"
"QID198_Choice205","Newbury","Newbury"
"QID198_Choice206","Newburyport","Newburyport"
"QID198_Choice207","Newton","Newton"
"QID198_Choice208","Norfolk","Norfolk"
"QID198_Choice209","North Adams","North Adams"
"QID198_Choice210","North Andover","North Andover"
"QID198_Choice211","North Attleborough","North Attleborough"
"QID198_Choice212","North Brookfield","North Brookfield"
"QID198_Choice213","North Reading","North Reading"
"QID198_Choice214","Northampton","Northampton"
"QID198_Choice215","Northborough","Northborough"
"QID198_Choice216","Northbridge","Northbridge"
"QID198_Choice217","Northfield","Northfield"
"QID198_Choice218","Norton","Norton"
"QID198_Choice219","Norwell","Norwell"
"QID198_Choice220","Norwood","Norwood"
"QID198_Choice221","Oak Bluffs","Oak Bluffs"
"QID198_Choice222","Oakham","Oakham"
"QID198_Choice223","Orange","Orange"
"QID198_Choice224","Orleans","Orleans"
"QID198_Choice225","Otis","Otis"
"QID198_Choice226","Oxford","Oxford"
"QID198_Choice227","Palmer","Palmer"
"QID198_Choice228","Paxton","Paxton"
"QID198_Choice229","Peabody","Peabody"
"QID198_Choice230","Pelham","Pelham"
"QID198_Choice231","Pembroke","Pembroke"
"QID198_Choice232","Pepperell","Pepperell"
"QID198_Choice233","Peru","Peru"
"QID198_Choice234","Petersham","Petersham"
"QID198_Choice235","Phillipston","Phillipston"
"QID198_Choice236","Pittsfield","Pittsfield"
"QID198_Choice237","Plainfield","Plainfield"
"QID198_Choice238","Plainville","Plainville"
"QID198_Choice239","Plymouth","Plymouth"
"QID198_Choice240","Plympton","Plympton"
"QID198_Choice241","Princeton","Princeton"
"QID198_Choice242","Provincetown","Provincetown"
"QID198_Choice243","Quincy","Quincy"
"QID198_Choice244","Randolph","Randolph"
"QID198_Choice245","Raynham","Raynham"
"QID198_Choice246","Reading","Reading"
"QID198_Choice247","Rehoboth","Rehoboth"
"QID198_Choice248","Revere","Revere"
"QID198_Choice249","Richmond","Richmond"
"QID198_Choice250","Rochester","Rochester"
"QID198_Choice251","Rockland","Rockland"
"QID198_Choice252","Rockport","Rockport"
"QID198_Choice253","Rowe","Rowe"
"QID198_Choice254","Rowley","Rowley"
"QID198_Choice255","Royalston","Royalston"
"QID198_Choice256","Russell","Russell"
"QID198_Choice257","Rutland","Rutland"
"QID198_Choice258","Salem","Salem"
"QID198_Choice259","Salisbury","Salisbury"
"QID198_Choice260","Sandisfield","Sandisfield"
"QID198_Choice261","Sandwich","Sandwich"
"QID198_Choice262","Saugus","Saugus"
"QID198_Choice263","Savoy","Savoy"
"QID198_Choice264","Scituate","Scituate"
"QID198_Choice265","Seekonk","Seekonk"
"QID198_Choice266","Sharon","Sharon"
"QID198_Choice267","Sheffield","Sheffield"
"QID198_Choice268","Shelburne","Shelburne"
"QID198_Choice269","Sherborn","Sherborn"
"QID198_Choice270","Shirley","Shirley"
"QID198_Choice271","Shrewsbury","Shrewsbury"
"QID198_Choice272","Shutesbury","Shutesbury"
"QID198_Choice273","Somerset","Somerset"
"QID198_Choice274","Somerville","Somerville"
"QID198_Choice275","South Hadley","South Hadley"
"QID198_Choice276","Southampton","Southampton"
"QID198_Choice277","Southborough","Southborough"
"QID198_Choice278","Southbridge","Southbridge"
"QID198_Choice279","Southwick","Southwick"
"QID198_Choice280","Spencer","Spencer"
"QID198_Choice281","Springfield","Springfield"
"QID198_Choice282","Sterling","Sterling"
"QID198_Choice283","Stockbridge","Stockbridge"
"QID198_Choice284","Stoneham","Stoneham"
"QID198_Choice285","Stoughton","Stoughton"
"QID198_Choice286","Stow","Stow"
"QID198_Choice287","Sturbridge","Sturbridge"
"QID198_Choice288","Sudbury","Sudbury"
"QID198_Choice289","Sunderland","Sunderland"
"QID198_Choice290","Sutton","Sutton"
"QID198_Choice291","Swampscott","Swampscott"
"QID198_Choice292","Swansea","Swansea"
"QID198_Choice293","Taunton","Taunton"
"QID198_Choice294","Templeton","Templeton"
"QID198_Choice295","Tewksbury","Tewksbury"
"QID198_Choice296","Tisbury","Tisbury"
"QID198_Choice297","Tolland","Tolland"
"QID198_Choice298","Topsfield","Topsfield"
"QID198_Choice299","Townsend","Townsend"
"QID198_Choice300","Truro","Truro"
"QID198_Choice301","Tyngsborough","Tyngsborough"
"QID198_Choice302","Tyringham","Tyringham"
"QID198_Choice303","Upton","Upton"
"QID198_Choice304","Uxbridge","Uxbridge"
"QID198_Choice305","Wakefield","Wakefield"
"QID198_Choice306","Wales","Wales"
"QID198_Choice307","Walpole","Walpole"
"QID198_Choice308","Waltham","Waltham"
"QID198_Choice309","Ware","Ware"
"QID198_Choice310","Wareham","Wareham"
"QID198_Choice311","Warren","Warren"
"QID198_Choice312","Warwick","Warwick"
"QID198_Choice313","Washington","Washington"
"QID198_Choice314","Watertown","Watertown"
"QID198_Choice315","Wayland","Wayland"
"QID198_Choice316","Webster","Webster"
"QID198_Choice317","Wellesley","Wellesley"
"QID198_Choice318","Wellfleet","Wellfleet"
"QID198_Choice319","Wendell","Wendell"
"QID198_Choice320","Wenham","Wenham"
"QID198_Choice321","West Boylston","West Boylston"
"QID198_Choice322","West Bridgewater","West Bridgewater"
"QID198_Choice323","West Brookfield","West Brookfield"
"QID198_Choice324","West Newbury","West Newbury"
"QID198_Choice325","West Springfield","West Springfield"
"QID198_Choice326","West Stockbridge","West Stockbridge"
"QID198_Choice327","West Tisbury","West Tisbury"
"QID198_Choice328","Westborough","Westborough"
"QID198_Choice329","Westfield","Westfield"
"QID198_Choice330","Westford","Westford"
"QID198_Choice331","Westhampton","Westhampton"
"QID198_Choice332","Westminster","Westminster"
"QID198_Choice333","Weston","Weston"
"QID198_Choice334","Westport","Westport"
"QID198_Choice335","Westwood","Westwood"
"QID198_Choice336","Weymouth","Weymouth"
"QID198_Choice337","Whately","Whately"
"QID198_Choice338","Whitman","Whitman"
"QID198_Choice339","Wilbraham","Wilbraham"
"QID198_Choice340","Williamsburg","Williamsburg"
"QID198_Choice341","Williamstown","Williamstown"
"QID198_Choice342","Wilmington","Wilmington"
"QID198_Choice343","Winchendon","Winchendon"
"QID198_Choice344","Winchester","Winchester"
"QID198_Choice345","Windsor","Windsor"
"QID198_Choice346","Winthrop","Winthrop"
"QID198_Choice347","Woburn","Woburn"
"QID198_Choice348","Worcester","Worcester"
"QID198_Choice349","Worthington","Worthington"
"QID198_Choice350","Wrentham","Wrentham"
"QID198_Choice351","Yarmouth","Yarmouth"
"QID199_QuestionText","Do you currently rent or own your home?","¿Actualmente alquila o es propietario de su vivienda?"
"QID199_Choice1","Rent","Alquilo"
"QID199_Choice2","Own","Soy propietario"
"QID199_Choice3","Other, please explain:","Otro, explique:"
"QID200_QuestionText","Do you have any children under age 18 currently living at home with you?","¿Tiene hijos menores de 18 años que vivan actualmente con usted?"
"QID200_Choice1","Yes","Sí"
"QID200_Choice2","No","No"
"QID201_QuestionText","How many children under age 18 do you currently have living at home with you?&nbsp;<br><i>If you have 2 children, please type: 2</i><br>","¿Cuántos hijos menores de 18 años viven actualmente con usted?&nbsp;<br><i> Si tiene 2 hijos, escriba 2.</i><br>"
"QID202_QuestionText","Is your current income for your work paid as an hourly rate or annual salary?","¿Su ingreso actual por su trabajo se paga como tarifa por hora o como salario anual?"
"QID202_Choice1","Hourly rate","Tarifa por hora"
"QID202_Choice2","Annual salary","Salario anual"
"QID203_QuestionText","What is your hourly rate in your current role?","¿Cuál es su tarifa por hora en su función actual?"
"QID203_Choice1","Less than $12.00 an hour","Menos de $12.00 la hora"
"QID203_Choice2","Between $12.00 and $13.99 an hour","Entre $12.00 y $13.99 la hora"
"QID203_Choice3","Between $14.00 and $15.99 an hour","Entre $14.00 y $15.99 la hora"
"QID203_Choice4","Between $16.00 and $17.99 an hour","Entre $16.00 y $17.99 la hora"
"QID203_Choice5","Between $18.00 and $19.99 an hour","Entre 1$18.00 y $19.99 la hora"
"QID203_Choice6","Between $20.00 and $21.99 an hour","Entre $20.00 y $21.99 la hora"
"QID203_Choice7","Between $22.00 and $23.99 an hour","Entre $22.00 y $23.99 la hora"
"QID203_Choice8","Between $24.00 and $25.99 an hour","Entre $24.00 y $25.99 la hora"
"QID203_Choice9","Between $26.00 and $27.99 an hour","Entre $26.00 y $27.99 la hora"
"QID203_Choice10","Between $28.00 and $29.99 an hour","Entre $28.00 y $29.99 la hora"
"QID203_Choice11","Between $30.00 and $31.99 an hour","Entre $30.00 y $31.99 la hora"
"QID203_Choice12","Between $32.00 and $33.99 an hour","Entre $32.00 y $33.99 la hora"
"QID203_Choice13","Between $34.00 and $35.99 an hour","Entre $34.00 y $35.99 la hora"
"QID203_Choice14","Between $36.00 and $37.99 an hour","Entre $36.00 y $37.99 la hora"
"QID203_Choice15","Between $38.00 and $39.99 an hour","Entre $38.00 y $39.99 la hora"
"QID203_Choice16","Over $40.00 an hour","Más de $40.00 la hora"
"QID204_QuestionText","What is your annual salary in your current role?","¿Cuál es su salario anual en su función actual?"
"QID204_Choice1"," $10,000 or less ","Menos de $10,000"
"QID204_Choice2","$10,001 to $20,000","Entre $10,001 y $20,000"
"QID204_Choice3","$20,001 to $30,000","Entre $20,001 y $30,000"
"QID204_Choice4","$30,001 to $40,000","Entre $30,001 y $40,000"
"QID204_Choice5","$40,001 to $50,000","Entre $40,001 y $50,000"
"QID204_Choice6","$50,001 to $75,000","Entre $50,001 y $75,000"
"QID204_Choice7","$75,001 to $100,000","Entre $75,001 y $100,000"
"QID204_Choice8","$100,001 to $125,000","Entre $100,001 y $125,000"
"QID204_Choice9","$125,001 to $150,000","Entre $125,001 y $150,000"
"QID204_Choice10","$150,001 to $200,000","Entre $150,001 y $200,000"
"QID204_Choice11","$201,000 to $250,000","Entre $201,000 y $250,000"
"QID204_Choice12","More than $250,000","Más de $250,000"
"QID216_QuestionText","Since the start of the calendar year (since January 2023), how much of your own money have you spent on materials related to your work?<br><i>Please type only a number (e.g., if you have spent $20, please type: 20)</i><br>","Desde el inicio del año natural (desde enero de 2023), ¿cuánto dinero de su bolsillo ha gastado en materiales relacionados con su trabajo??<br><i> Escriba solo un número (p. ej., si ha gastado $20, escriba 20).</i><br>"
"QID205_QuestionText","In the 2022 tax year, what was the <b>total income</b> of all persons in your household, including salaries or other earnings, interest, retirement, and so on for all household members?","En el año fiscal 2022, ¿cuál fue el <b>ingreso total</b> de todas las personas de su hogar, incluidos los salarios u otros ingresos, intereses, jubilación, etc. correspondientes a cada uno de los miembros del hogar?"
"QID205_Choice1"," $10,000 or less ","Menos de $10,000"
"QID205_Choice2","$10,001 to $20,000","Entre $10,001 y $20,000"
"QID205_Choice3","$20,001 to $30,000","Entre $20,001 y $30,000"
"QID205_Choice4","$30,001 to $40,000","Entre $30,001 y $40,000"
"QID205_Choice5","$40,001 to $50,000","Entre $40,001 y $50,000"
"QID205_Choice6","$50,001 to $75,000","Entre $50,001 y $75,000"
"QID205_Choice7","$75,001 to $100,000","Entre $75,001 y $100,000"
"QID205_Choice8","$100,001 to $125,000","Entre $100,001 y $125,000"
"QID205_Choice9","$125,001 to $150,000","Entre $125,001 y $150,000"
"QID205_Choice10","$150,001 to $200,000","Entre $150,001 y $200,000"
"QID205_Choice11","$201,000 to $250,000","Entre $201,000 y $250,000"
"QID205_Choice12","More than $250,000","Más de $250,000"
"QID206_QuestionText","Including yourself, how many adults contribute to your household income?&nbsp;<br><i>Please type a number (if you and a spouse contribute income, type: 2)</i><br>","Incluido usted, ¿cuántos adultos contribuyen al ingreso de su hogar?&nbsp;<br><i> Escriba un número (si usted y un cónyuge contribuyen al ingreso, escriba 2).</i><br>"
"QID207_QuestionText","Have you received any of the following types of public supports or assistance from the state or federal government so far in 2023?<br><i>➘(Check all that apply.)</i>","En lo que va de 2023, ¿ha recibido alguno de los siguientes tipos de asistencia o ayuda pública del gobierno estatal o federal?<br><i> ➘ (Marque todas las opciones que correspondan).</i>"
"QID207_Choice1","Unemployment benefits","Beneficios de desempleo"
"QID207_Choice2","Pay day protection loans","Préstamos de protección del día de pago"
"QID207_Choice3","SNAP or TANF (Food stamps)","SNAP o TANF (Cupones de alimentos)"
"QID207_Choice4","Earned income tax credit (EITC)","Crédito tributario por ingreso del trabajo (EITC, por sus siglas en inglés)"
"QID207_Choice5","Emergency CCDBG funds","Fondos de emergencia para CCDBG (Subvención en Bloque para el Cuidado y Desarrollo Infantil)"
"QID207_Choice6","Free meals from community programs (e.g., school lunch program, food bank, food pantry)","Comidas gratuitas de programas comunitarios (p. ej., programa de almuerzos escolares, banco de alimentos, despensa de alimentos)"
"QID207_Choice7","Other supports or assistances for individuals. Please explain:","Otras ayudas o asistencias a las personas Explique:"
"QID219_QuestionText","Do you have any of the following credentials?<br><i>Check all that apply</i><br>","¿Posee alguna de las siguientes credenciales?<br><i> Marque todas las opciones que correspondan.</i><br>"
"QID219_Choice1","Home Visiting Child Development Associate (CDA)","Asociado de Desarrollo Infantil (CDA, por sus siglas en inglés) para visitas a domicilio"
"QID219_Choice4","Clinical License (Speech language pathologist, RN, Occupational therapist, physical therapist, social worker, mental health clinician, other)","Licencia clínica (terapeuta del habla, enfermero titulado, terapeuta ocupacional, fisioterapeuta, trabajador social, clínico de salud mental, otro)"
"QID219_Choice5","Developmental Specialist (EI recognized category)","Especialista en desarrollo (categoría reconocida por la EI [intervención en la primera infancia])"
"QID219_Choice6","Infant/Early Childhood Mental Health credential","Credencial en Salud Mental Infantil y de la Primera Infancia"
"QID219_Choice7","Other, please type in","Otro, especifique"
"QID233_QuestionText","How many years <b>total</b> have you worked in the field of family support/home visiting? <br><i>Please type number</i>","¿Cuántos años <b>en total</b> ha trabajado en el campo de la ayuda familiar/visitas a domicilio? <br><i> Escriba el número.</i>"
"QID234_QuestionText","What is the <b>highest</b> grade or year of schooling that you have completed?<br><i>Check one</i><br>","¿Cuál es el <b>grado o nivel de educación más alto</b> que ha completado?<br><i> Marque una opción.</i><br>"
"QID234_Choice1","12th grade or below (no high school diploma)","12.º grado o nivel inferior (sin diploma de enseñanza secundaria)"
"QID234_Choice2","High school diploma/GED","Escuela secundaria/GED (Certificado de equivalencia)"
"QID234_Choice3","Vocational/technical program after high school","Programa de formación profesional técnica después de la escuela secundaria"
"QID234_Choice4","Some college (no college degree)","Carrera universitaria incompleta"
"QID234_Choice5","Associate's degree (2 year degree)","Título universitario (2 años)"
"QID234_Choice6","Bachelor's degree (4 year degree)","Carrera de grado o licenciatura (4 años)"
"QID234_Choice7","Some graduate or professional school (no graduate degree)","Estudios de posgrado incompletos"
"QID234_Choice8","Master's degree (MA, MS)","Maestría (MA, MS)"
"QID234_Choice9","Doctoral degree (PhD, EdD)","Doctorado (PhD, EdD)"
"QID234_Choice10","Professional degree after Bachelor's degree (MD, DDS, JD)","Título de posgrado tras la licenciatura de 4 años (MD, DDS, JD)"
"QID235_QuestionText","Do you have plans to complete your degree?<br>","¿Tiene planes de terminar la carrera?<br>"
"QID235_Choice1","Yes","Sí"
"QID235_Choice2","No","No"
"QID235_Choice3","Unsure","No estoy seguro"
"QID236_QuestionText","What was your major(s) for your <b>Associate's</b> degree? <br>(e.g., early childhood education, education, child and family studies, political science)","¿En qué se especializó durante su <b>carrera universitaria de 2 años</b>? <br> (P. ej., educación de la primera infancia, educación, estudios sobre la infancia y la familia, ciencias políticas)"
"QID237_QuestionText","What was your major(s) for your <b>Bachelor's</b> degree? <br>(e.g., early childhood education, education, child and family studies, political science)","¿En qué se especializó durante su <b>licenciatura de 4 años</b>? <br> (P. ej., educación de la primera infancia, educación, estudios sobre la infancia y la familia, ciencias políticas)"
"QID238_QuestionText","What was your <b>graduate</b> degree in?➘<br>(e.g., master's in early childhood education, doctorate in education leadership)","¿Qué <b>especialidad cursó</b> en posgrado? ➘<br> (P. ej., máster en educación de la primera infancia, doctorado en liderazgo educativo)"
"QID208_QuestionText","For each statement below, choose the response that best reflects your current opinion:","Para cada una de las siguientes afirmaciones, elija la respuesta que mejor refleje su opinión actual:"
"QID208_Choice1","My family needs support with finding or paying for medical care","Mi familia necesita ayuda para encontrar o pagar la atención médica"
"QID208_Choice2","My family needs support with finding or paying for food","Mi familia necesita ayuda para encontrar o pagar alimentos"
"QID208_Choice3","My family needs financial support due to income or employment disruption","Mi familia necesita ayuda económica debido a la interrupción de los ingresos o del empleo"
"QID208_Choice4","My family needs support with finding or paying for health insurance","Mi familia necesita ayuda para encontrar o pagar un seguro médico"
"QID208_Choice5","My family needs support paying for other bills (e.g., utilities)","Mi familia necesita ayuda para pagar otras facturas (p. ej., servicios públicos)"
"QID208_Answer1","Strongly agree","Totalmente de acuerdo"
"QID208_Answer2","Agree","De acuerdo"
"QID208_Answer3","Neither agree nor disagree","Ni de acuerdo ni en desacuerdo"
"QID208_Answer4","Disagree","En desacuerdo"
"QID208_Answer5","Strongly disagree","Totalmente en desacuerdo"
"QID210_QuestionText","<b>Open ended questions<br></b>You're almost to the end! We appreciate your time. To conclude we'd like to ask you a few open questions to capture any remaining thoughts.<br>","<b>Preguntas abiertas<br></b> Ya casi termina. Le agradecemos su tiempo. Para concluir, nos gustaría hacerle algunas preguntas abiertas para conocer sus últimas opiniones.<br>"
"QID211_QuestionText","What do you wish others knew about your role?","¿Qué le gustaría que los demás supieran sobre su función?"
"QID212_QuestionText","What do you enjoy most about your role?","¿Qué es lo que más le gusta de su trabajo?"
"QID213_QuestionText","What do you most wish you could change about your role","¿Qué es lo que más le gustaría cambiar de su función?"
"QID18_QuestionText","Please indicate the name of your current early education program in Cambridge?&nbsp;<br><i>If you are a family child care provider, please look for the name your program is registered under with the Department of Early Education and Care (typically ""Last Name, First Name"").</i><br>","Indique el nombre de su programa de educación de la primera infancia actual en Cambridge. &nbsp;<br><i>Si usted es un proveedor de cuidado infantil familiar, busque el nombre con el que su programa está registrado en el Department of Early Education and Care (Departamento de Educación y Cuidado Temprano) (normalmente ""apellido, nombre"").</i><br>"
"QID18_Choice1","Alef-Bet Child Care Center","Centro Alef-Bet Child Care"
"QID18_Choice122","Allen, Judy","Allen, Judy"
"QID18_Choice123","Amigos (JK)","Amigos (JK)"
"QID18_Choice124","Artisan Child Care Center","Artisan ChildCare Center"
"QID18_Choice125","Aster Montessori School","Escuela Aster Montessori"
"QID18_Choice126","Baldwin (JK)","Baldwin (JK)"
"QID18_Choice127","Baldwin (Special Start)","Baldwin (Special Start)"
"QID18_Choice128","Barnes, Winsome","Barnes, Winsome"
"QID18_Choice129","Bright Horizons at Biogen Idec","Bright Horizons en Biogen Idec"
"QID18_Choice130","Bright Horizons at Mass Ave","Bright Horizons en Mass Ave"
"QID18_Choice131","Bright Horizons Children's Center @ University Park","Centro infantil Bright Horizons en University Park"
"QID18_Choice132","Bright Horizons Children's Center at Kendall Square","Centro Infantil Bright Horizons en Kendall Square"
"QID18_Choice133","Buckingham Browne & Nichols Lower School","Escuela primaria Buckingham Browne & Nichols"
"QID18_Choice134","CAAS Head Start- Frisoli Center","CAAS Head Start- Centro Frisoli"
"QID18_Choice135","CAAS Head Start/ Jefferson Park ","CAAS Head Start/ Jefferson Park"
"QID18_Choice136","Calle, Reina","Calle, Reina"
"QID18_Choice137","Cambridge Ellis School","Escuela Cambridge-Ellis"
"QID18_Choice138","Cambridge Family YMCA - A Child's Place","Cambridge Family YMCA - A Child's Place"
"QID18_Choice139","Cambridge Friends School","Escuela Cambridge Friends"
"QID18_Choice140","Cambridge Montessori","Cambridge Montessori"
"QID18_Choice141","Cambridge Nursery School","Cambridge Nursery School"
"QID18_Choice142","Cambridge Our Place, Salvation Army","Our Place en Cambridge, Salvation Army"
"QID18_Choice143","Cambridgeport (JK)","Cambridgeport (JK)"
"QID18_Choice144","Cambridgeport (Special Start)","Cambridgeport (Special Start)"
"QID18_Choice145","Cambridgeport Children's Center - Tot Lot","Centro Infantil Cambridgeport - Tot Lot"
"QID18_Choice165","Campus Child Care - Botanic Gardens","Guardería infantil en el campus - Botanic Gardens"
"QID18_Choice166","Campus Child Care - Harvard Yard","Guardería infantil en el campus - Harvard Yard"
"QID18_Choice167","Campus Child Care - Oxford Street","Guardería infantil en el campus - Oxford Street"
"QID18_Choice168","Campus Child Care - Peabody Terrace","Guardería infantil en el campus - Peabody Terrace"
"QID18_Choice169","Campus Child Care - Radcliffe","Guardería infantil en el campus - Radcliffe"
"QID18_Choice146","Capucine Montessori School","Escuela Capucine Montessori"
"QID18_Choice147","Cedar Child Care","Cedar Child Care"
"QID18_Choice148","Children's Village","Children's Village"
"QID18_Choice149","Clarke, Laura","Clarke, Laura"
"QID18_Choice150","Dejesus-Acevedo, Jennie","Dejesus-Acevedo, Jennie"
"QID18_Choice151","East End House, Inc.","East End House, Inc."
"QID18_Choice152","Ecole Francaise - Concord Ave","Ecole Francaise - Concord Ave"
"QID18_Choice153","Ecole Francaise - Walden Square ","Ecole Francaise - Walden Square"
"QID18_Choice154","Evergreen Day School","Escuela diurna Evergreen"
"QID18_Choice155","Fatima, Kaniz","Fatima, Kaniz"
"QID18_Choice156","Fayerweather Street School","Fayerweather Street School"
"QID18_Choice157","Fletcher-Maynard Academy (JK)","Fletcher-Maynard Academy (JK)"
"QID18_Choice158","Fletcher-Maynard Academy Scholar College","Escuela académica Fletcher-Maynard Academy"
"QID18_Choice159","Garden Cooperative Nursery School","Garden Cooperative Nursery School"
"QID18_Choice160","Graham & Parks (JK)","Graham & Parks (JK)"
"QID18_Choice161","Graham & Parks (Special Start)","Graham & Parks (Special Start)"
"QID18_Choice162","Greaves, Cynthia","Greaves, Cynthia"
"QID18_Choice163","Haggerty Elementary School","Escuela Primaria Haggerty"
"QID18_Choice164","Haggerty Preschool (DHSP)","Preescolar Haggerty (DHSP)"
"QID18_Choice170","Holder, Dian","Holder, Dian"
"QID18_Choice171","International School of Boston","International School of Boston"
"QID18_Choice172","Jun Zi Lan Montessori","Jun Zi Lan Montessori"
"QID18_Choice173","Kennedy-Longfellow (JK)","Kennedy-Longfellow (JK)"
"QID18_Choice174","Kennedy-Longfellow (Special Start)","Kennedy-Longfellow (Special Start)"
"QID18_Choice175","Kennedy-Longfellow Preschool (DHSP)","Preescolar Kennedy-Longfellow (DHSP)"
"QID18_Choice176","Kiddie Academy of Cambridge","Kiddie Academy - Cambridge"
"QID18_Choice177","KinderCare - Cambridge","KinderCare - Cambridge"
"QID18_Choice178","King Open (JK)","King Open (JK)"
"QID18_Choice179","King Open Preschool (DHSP)","Preescolar King Open (DHSP)"
"QID18_Choice180","Lee, Melissa","Lee, Melissa"
"QID18_Choice181","Little Folks Fellowship Nursery School","Guardería Little Folks Fellowship"
"QID18_Choice182","Malik Academy/Al Bustan Preschool","Preescolar Malik Academy/Al Bustan"
"QID18_Choice183","Martin Luther King Elementary School","Escuela Primaria Martin Luther King"
"QID18_Choice184","Martin Luther King Preschool (DHSP)","Preescolar Martin Luther King (DHSP)"
"QID18_Choice185","Miramelinda Montessori School","Escuela Miramelinda Montessori"
"QID18_Choice186","Morse (JK)","Morse (JK)"
"QID18_Choice187","Morse (Special Start)","Morse (Special start)"
"QID18_Choice188","Morse Preschool (DHSP)","Preescolar Morse (DHSP)"
"QID18_Choice189","Newtowne School Inc.","Newtowne School Inc."
"QID18_Choice190","Nurtury Inc. @ Harvard Street","Nurtury Inc. en Harvard Street"
